# JLPT N5 Nouns;;
* 文法;Noun;?Romanji;Meaning
赤;あか;aka;red, crimson, scarlet
秋;あき;aki;autumn, fall
飴;あめ;ame;candy
雨;あめ;ame;rain
姉;あね;ane;older sister, elder sister
兄;あに;ani;elder brother, older brother
青;あお;ao;blue, azure
アパート;;apaato;apartment
朝;あさ;asa;morning
朝ご飯;あさごはん;asagohan;breakfast
明後日;あさって;asatte;day after tomorrow
足;あし;ashi;foot, leg, paw, arm
明日;あした;ashita;tomorrow
頭;あたま;atama;head
後;あと;ato;behind, after, remainder, left, also
晩ご飯;ばんごはん;bangohan;dinner, evening meal
番号;ばんごう;bangou;number
バス;;basu;bus
バター;;bataa;butter
ベッド;;beddo;bed
勉強;べんきょう;benkyou;to study
ボールペン;;boorupen;ball-point pen
ボタン;;botan;button
帽子;ぼうし;boushi;hat, cap
文章;ぶんしょう;bunshou;sentence
豚肉;ぶたにく;butaniku;pork
病院;びょういん;byouin;hospital
病気;びょうき;byouki;illness, disease, sickness
茶色;ちゃいろ;chairo;brown
茶碗;ちゃわん;chawan;rice bowl, tea cup, teacup
父;ちち;chichi;father
地下鉄;ちかてつ;chikatetsu;subway, underground train
地図;ちず;chizu;map
台所;だいどころ;daidokoro;kitchen
大学;だいがく;daigaku;university, college
出口;でぐち;deguchi;exit, gateway, way out
電気;でんき;denki;electricity
電車;でんしゃ;densha;train, electric train
電話;でんわ;denwa;telephone (call / device)l, phone call
デパート;;depaato;department store
ドア;;doa;door
どなた;;donata;who
動物;どうぶつ;doubutsu;animal
土曜日;どようび;doyoubi;Saturday
絵;え;e;picture
ええ;;ee;yes, that is correct, right
映画;えいが;eiga;movie, film
映画館;えいがかん;eigakan;movie theater, cinema
英語;えいご;eigo;English language
駅;えき;eki;station
鉛筆;えんぴつ;enpitsu;pencil
エレベーター;;erebeetaa;elevator
フィルム;;firumu;film
フォーク;;fooku;fork
服;ふく;fuku;clothes
二人;ふたり;futari;two people, pair, couple
二つ;ふたつ;futatsu;two, 2
二日;ふつか;futsuka;the second day of the month / 2 days
封筒;ふうとう;fuutou;envelope
冬;ふゆ;fuyu;winter
外国;がいこく;gaikoku;foreign country
外国人;がいこくじん;gaikokujin;foreigner, foreign citizen, foreign national, alien, non-Japanese
学校;がっこう;gakkou;school
学生;がくせい;gakusei;student
玄関;げんかん;genkan;entrance
元気;げんき;genki;lively, full of spirit, energetic, healthy
月曜日;げつようび;getsuyoubi;Monday
銀行;ぎんこう;ginkou;bank
ギター;;gitaa;guitar
五;ご;go;five, 5
午後;ごご;gogo;afternoon, p.m.
ご飯;ごはん;gohan;cooked rice, meal
午前;ごぜん;gozen;morning, a.m.
グラム;;guramu;gram
牛肉;ぎゅうにく;gyuuniku;beef
牛乳;ぎゅうにゅう;gyuunyuu;(cow's) milk
歯;は;ha;tooth
八;はち;hachi;eight: 8
葉書;はがき;hagaki;postcard
母;はは;haha;mother
はい;;hai;yes, that is correct
灰皿;はいざら;haizara;ashtray
箱;はこ;hako;box, crate
半;はん;han;half, semi-, half-past
花;はな;hana;flower
鼻;はな;hana;nose
話;はなし;hanashi;talk, speech, chat, conversation
半分;はんぶん;hanbun;half
ハンカチ;;hankachi;handkerchief
晴れ;はれ;hare;clear weather
春;はる;haru;spring, springtime
箸;はし;hashi;chopsticks
橋;はし;hashi;bridge
二十歳;はたち;hatachi;20 years old, twenty years old
二十日;はつか;hatsuka;twentieth day of the month / 20 days
辺;へん;hen;area
下手;へた;heta;unskillful, poor, awkward
部屋;へや;heya;room
左;ひだり;hidari;left, left hand side
東;ひがし;higashi;east
飛行機;ひこうき;hikouki;airplane, aircraft
暇;ひま;hima;free time
昼;ひる;hiru;noon, midday, daytime, lunch
昼ご飯;ひるごはん;hirugohan;lunch
人;ひと;hito;person, human
一人;ひとり;hitori;one person, alone, single
一つ;ひとつ;hitotsu;one thing, only
ほか;;hoka;other (place, thing, person), the rest
本;ほん;hon;book, volume, script
本棚;ほんだな;hondana;bookshelf, bookcase
本当;ほんとう;hontou;truth, reality, actuality, fact
ホテル;;hoteru;hotel
百;ひゃく;hyaku;100, hundred
一;いち;ichi;one, best, first, foremost, start
一番;いちばん;ichiban;number one, first, 1st, first place, best, most
一日;いちにち;ichinichi;one day, all day
家;いえ;ie;house, residence, family
池;いけ;ike;pond
いくら;;ikura;how much?, how many?
今;いま;ima;now, the present time, soon
意味;いみ;imi;meaning, significance, sense
妹;いもうと;imouto;younger sister
犬;いぬ;inu;dog
入口;いりぐち;iriguchi;entrance, entry, gate
色;いろ;iro;colour, color
色々;いろいろ;iroiro;various
医者;いしゃ;isha;(medical) doctor, physician
一緒;いっしょ;issho;together, at the same time, same, identical
椅子;いす;isu;chair
五日;いつか;itsuka;the fifth day of the month / 5 days
五つ;いつつ;itsutsu;five, 5
嫌;いや;iya;unpleasant
字引;じびき;jibiki;dictionary
自動車;じどうしゃ;jidousha;automobile, motorcar, motor vehicle, car
時間;じかん;jikan;time, hour(s)
辞書;じしょ;jisho;dictionary
自転車;じてんしゃ;jitensha;bicycle
上手;じょうず;jouzu;skillful, skilled, proficient, good (at)
授業;じゅぎょう;jugyou;lesson, class work
十;じゅう;juu;ten, 10
かばん;;kaban;bag, basket
花瓶;かびん;kabin;a vase
角;かど;kado;a corner, angle
鍵;かぎ;kagi;key
階段;かいだん;kaidan;stairs, stairway, staircase
買い物;かいもの;kaimono;shopping, purchased goods
会社;かいしゃ;kaisha;company, corporation
カメラ;;kamera;camera
紙;かみ;kami;paper
漢字;かんじ;kanji;kanji
カップ;;kappu;cup
体;からだ;karada;body
カレー;;karee;curry
カレンダー;;karendaa;calendar
傘;かさ;kasa;umbrella
方;かた;kata;way of doing something
家庭;かてい;katei;household
川;かわ;kawa;river, stream
火曜日;かようび;kayoubi;Tuesday
風邪;かぜ;kaze;a cold
風;かぜ;kaze;wind
家族;かぞく;kazoku;family, members of a family
警官;けいかん;keikan;policeman, police officer
結婚;けっこん;kekkon;marriage
結構;けっこう;kekkou;splendid, enough
今朝;けさ;kesa;this morning
木;き;ki;tree, shrub, bush, wood, timber
昨日;きのう;kinou;yesterday
金曜日;きんようび;kinyoubi;Friday
切符;きっぷ;kippu;ticket
嫌い;きらい;kirai;hate
キログラム;;kiro guramu;kilogram
キロメートル;;kiro meetoru;kilometer
喫茶店;きっさてん;kissaten;coffee shop, tearoom, cafe
北;きた;kita;north
切手;きって;kitte;stamp (postage)
こっち;;kocchi;this person or way
こちら;;kochira;this way, this direction
子供;こども;kodomo;child
声;こえ;koe;voice
九日;ここのか;kokonoka;ninth day of the month / 9 days
九つ;ここのつ;kokonotsu;nine, 9
今晩;こんばん;konban;tonight, this evening
今月;こんげつ;kongetsu;this month
今週;こんしゅう;konshuu;this week
コーヒー;;koohii;Coffee
コート;;kooto;coat
コピー;;kopii;copy, photocopy
コップ;;koppu;glass (drinking vessel), tumbler
言葉;ことば;kotoba;word, words
今年;ことし;kotoshi;this year
交番;こうばん;kouban;police box
紅茶;こうちゃ;koucha;black tea
公園;こうえん;kouen;park
交差点;こうさてん;kousaten;intersection
口;くち;kuchi;mouth, opening
果物;くだもの;kudamono;fruit
曇り;くもり;kumori;cloudiness, cloudy weather
国;くに;kuni;country, state, region
クラス;;kurasu;class
黒;くろ;kuro;black
車;くるま;kuruma;car, automobile, vehicle
薬;くすり;kusuri;medicine
靴;くつ;kutsu;shoes
靴下;くつした;kutsushita;socks
去年;きょねん;kyonen;last year
今日;きょう;kyou;today, this day
兄弟;きょうだい;kyoudai;siblings, brothers and sisters, mate
教室;きょうしつ;kyoushitsu;classroom
九;きゅう;kyuu;nine, 9
マッチ;;macchi;match
町;まち;machi;town, block, neighborhood
窓;まど;mado;window
前;まえ;mae;previous, before, in front, ago
毎朝;まいあさ;maiasa;every morning
毎晩;まいばん;maiban;every night
毎日;まいにち;mainichi;every day
毎週;まいしゅう;maishuu;every week
毎年;;maitoshi / mainenまいとし / まいねん;every year, yearly, annually
毎月;まいつき;maitsuki;every month, monthly
万;まん;man;10,000, ten thousand
万年筆;まんねんひつ;mannenhitsu;fountain pen
真っ直ぐ;まっすぐ;massugu;straight ahead,direct
目;め;me;eye
メートル;;meetoru;metre, meter
眼鏡;めがね;megane;glasses
道;みち;michi;road, street
緑;みどり;midori;green
右;みぎ;migi;right, right hand side
三日;みっか;mikka;the third day of the month / 3 days
耳;みみ;mimi;ear, hearing
南;みなみ;minami;south
皆さん;みなさん;minasan;everyone
みんな;;minna;all, everyone, everybody
店;みせ;mise;store, shop, establishment, restaurant
三つ;みっつ;mittsu;three, 3
水;みず;mizu;water, fluid, liquid
木曜日;もくようび;mokuyoubi;Thursday
門;もん;mon;gate
問題;もんだい;mondai;problem, question (e.g. on a test)
物;もの;mono;thing
六日;むいか;muika;sixth day of the month / 6 days
向こう;むこう;mukou;over there
村;むら;mura;village
六つ;むっつ;muttsu;six, 6
ナイフ;;naifu;knife
中;なか;naka;inside, in, within, center
名前;なまえ;namae;name, full name, given name
七つ;ななつ;nanatsu;seven, 7
七日;なのか;nanoka;seventh day of the month / 7 days
夏;なつ;natsu;summer
夏休み;なつやすみ;natsuyasumi;summer vacation, summer holiday
猫;ねこ;neko;cat
ネクタイ;;nekutai;tie, necktie
二;に;ni;two, 2
日曜日;にちようび;nichiyoubi;Sunday
日記;にっき;nikki;diary, journal
肉;にく;niku;meat
荷物;にもつ;nimotsu;luggage, baggage
西;にし;nishi;west
庭;にわ;niwa;garden
飲み物;のみもの;nomimono;drink, beverage
ノート;;nooto;notebook
ニュース;;nyuusu;news
おばあさん;;obaasan;grandmother
伯母さん;おばさん;obasan;aunt, old lady
